idx,sentence,P,R,F1,status
69,"ताणें गोंयांतल्या विवीध पुलीस स्टेशनांचेर, पुलीस उपविभागीय पुलीस अधिकारी म्हूण सेवा केल्या",0.2,0.35,0.25,OK
70,"हरमलकार, हवालदार दनरंथ म्हाडेळकार आनी फोरमॅन उमेश पालकार निवृत्त जाल्यात",0.22,0.48,0.3,OK
71,मुरगांवः मुरगांवच्या उपनगराध्यक्षपदाचेर अमेय चोपडेंकाराची बिनविरोध निवड जाली,,,,SKIP
72,उपनगराध्यक्षपदाचेर निवड जाल्ल्याचें जाहीर केलें,0.25,0.25,0.25,OK
73,प्रभाग 18 चो नगरसेवक चोपडेंकाराचो अर्ज सादर,0.28,0.29,0.29,OK
74,"करपाच्या निमण्या दिसा 28 मार्चाक एकूच अर्ज दाखल जाल्ल्यान ताची बिनविरोध निवड जातली, हें निश्चीत आशिल्ले",0.17,0.2,0.18,OK
75,श्रद्धा महालेन 15 मार्चाक मुरगांवच्या उपनगराध्यक्षपदाचो राजिनामो दिल्ल्यान ही सुवात रिती जाल्ली,0.26,0.39,0.31,OK
76,गांवस हाच्या स्वेच्छानिवृत्ती निमतान आयोजीत केल्ल्या कार्यावळींत पेंगीणकार उलयताली,0.28,0.4,0.33,OK
77,"दा विद्यालया वतीन आयोजीत केल्ल्या भोवमान सुवाळ्यांत भोवमान केल्ले मानेस्त लक्ष्मण च्यारी, गुरुदास गांवस हांचे",,,,SKIP
78,हांची  वागडा पेंगीणकार लक्ष्मण च्यारी हांची बदली जाल्ल्यान : वांगडा मुख्याध्यापिका रोशन पेंगीणकार आनी हेर,0.17,0.28,0.21,OK
79,हाका लागून खूब खेपे शिक्षकांक खूब मेहनत करची पडटा,,,,SKIP
80,कार्यावळीची सुरवात : विद्यार्थ्यांनी सादर केल्ल्या येवकार,0.09,0.3,0.13,OK
81,जाल्ल्याचें सत्रय चोपडेकारान बापूय आदलो नगरसेवक अनिल चोपडेंकार आनी आवय आदली उपनगराध्यक्ष अनिता चोपडेंकार हांकां दिलें,,,,SKIP
82,समाज सेवेंतल्यान आपूण नगरसेवक जालों,0.1,0.3,0.15,OK
83,जारी केल्ल्या आदेशा प्रमाण आनीक 35 जाणांच्यो बदल्यो केल्यात,0.1,0.23,0.14,OK
84,मुरगांव पालिकेच्या 2.39 कोटींच्या शिलकी अर्थसंकल्पाक मान्यताय,0.19,0.31,0.24,OK
85,मुरगांव पालिका मंडळाची बुधवारा बसका जाली आनी हे बसकेंत अर्थसंकल्प सादर केलो,0.1,0.28,0.15,OK
86,मोबायल टॉवर भाडें घेवपा विशीं चर्चा केली,0.12,0.25,0.16,OK
87,ह्या अर्थसंकल्पांत 15 व्या वित्त,0.1,0.11,0.11,OK
88,हें पयलेच फावट जाल्ल्यान हेत्रिक्स हांणी कांय प्रस्न उपस्थित केले,,,,SKIP
89,पूण लेखा परिक्षण अधिकारिणीन गोंयांतल्यो हेर पालिका अशे तरेनअनुदान येणावळींत दाखयतात अशें स्पश्ट केलें,0.12,0.18,0.14,OK
90,आसा अशें हेत्रिक्स हांणी सांगलें,0.24,0.44,0.31,OK
91,करिनासतना ती घरपट्टीत नितळसाण कराच्या रुपान घेवपा विशीं चर्चा केली,0.17,0.38,0.23,OK
92,हो सुवाळो संवसार पाडव्याच्या शूभ दिसा आयोजीत करपाचेंय मुरगांव हिंदू समाजाचे आमसभेत निश्चीत केल्लें,,,,SKIP
93,ताका लागून देवीक भांगराचे हार अर्पण करपाचो सुवाळो फुडें धुकल्ला,,,,SKIP
94,नवी तारीख आनी वेळ रोखडोच जाहीर करतले अशें जाळवणदारांनी कळीत केलां,,,,SKIP
95,तीन दीस विंगडविंगड कार्यावळी जाल्यो,0.06,0.09,0.07,OK
96,बुधवारा श्री देवी सातिरीच्या कलशाचें दिंडी सयत श्री देवी सांतेरी मंदिरा कडेन प्रयाण जालें,,,,SKIP
97,ह्या वेळार सत्पुरूष बाल कलाकारांचे वतीन पारंपारिक नाच सादर केले,,,,SKIP
98,धोल-ताशांच्या गजरांत ही कार्यावळ जाली,0.24,0.18,0.21,OK
99,खातीर प्रशिक्षण घेतात तांचे खातीर ही तजवीज केल्या,0.14,0.33,0.2,OK
100,"खास करून, बायलां मदीं लैंगीक रितीन पातळपी दुयेंसांक लागून चड करून पॅल्वीक इंफ्लेमेटरी दुयेंस ही गंभीर स्थिती जाता.",,,,SKIP
101,"वादळाक लागून ओक्लाहोमांत स जाणांक, टेक्सासांत आठ जाणांक आनी मिसौरींत एका मनशाक मरण आयलें.",0.32,0.4,0.35,OK
102,किनामी - फिन्निश पुराणांत किनामी म्हणल्यार दर्यांतलो एक उदकाचो व्हड भोंवरो.,0.2,0.33,0.25,OK
103,"कोलन सुमराभायर व्हड जावप  (मेगाकोलन), दोळे, सांदे वा फिग्द फुलप आनी कोलन कॅन्सर जावपामेरेन परिस्थिती इबाडपाक शकता.",,,,SKIP
104,नूरबक्षिया इस्लामाक हें ताचेंच नांव दिलां   आनी ताचे अनुयायी फकत बाल्टिस्तान आनी लद्दाखांत मेळटात.,0.17,0.34,0.23,OK
105,तेंगशेर आसतना तो संवसारांतलो एक सगळ्यांत व्यापक धर्म आशिल्लो.,0.02,0.08,0.04,OK
106,"2000 वर्साचे जनगणनेमेरेन त्या परगण्यांत 33,557 लोक रावताले.",0.13,0.42,0.2,OK
107,"ज्योतिषीय व्युत्पत्तीशास्त्र इ. स. च्या पयल्या शतमानाच्या निमाण्या काळांतलें आसा, ताचेर ग्रीक राशी कल्पनांचो प्रभाव आसूं येता.",,,,SKIP
108,दोगांय बुलडोजरांक विरोध करपाचो यत्न करतात पूण सगळीं झाडां नाच्च जाल्लीं दिसतात अशे रानांतले एके सुवातेर पावतात.,,,,SKIP
109,प्रजासत्ताक दिसाची परेड ही भारताची सांस्कृतीक विविधताय आनी लश्करी बळ दाखोवपी एक व्हड सांस्कृतीक आनी लश्करी परेड.,0.17,0.3,0.22,OK
110,ह्या पेयाकडेन रम्य कल्पनांच्यो जोडण्यो लोकप्रीय संस्कृतींत अजूनय घोळटात.,,,,SKIP
111,दीर्घकालीन केशी बायलांक चड जातात.,0.33,0.1,0.15,OK
112,"ताच्या फुडल्या वर्सा, कार्यकाळाचे मर्यादेक लागून तिणें पद सोडलें.",0.04,0.07,0.05,OK
113,लॅटेक्सः रबर अशेंय म्हण्टात तें लॅटेक्स एक सैमीक पॉलिमर.,0.05,0.17,0.08,OK
114,हो मॅनहॅटनाचे पश्चिमेवटेनचो वाठार.,0.25,0.2,0.22,OK
115,ती किंताना रु राज्याची राजधानी.,0.42,0.42,0.42,OK
116,साकर नाशिल्ल्या सोदाच्या संबंदान ए.डी.ए. न अजून सुदारीत धोरण प्रसिद्ध करूंना.,0.16,0.29,0.2,OK
117,"सादारण संघटीत भोंवडी चलोवप्यांच्या व्हडल्या पंगडान सुरू जाता, ताका मास, बंच वा पेलोटन लेगीत म्हणटात.",,,,SKIP
118,चॅकसम्स वापरतात ते संगणक सॉफ्टवॅराचे सिरियल क्रमांक आसतात अशी ही आनीक एक सुवात.,0.07,0.12,0.09,OK
119,दर वर्सा जानेवारी म्हयन्यांत येवपी मट्टू पोंगल दिसा पोंगल उत्सवाचो एक भाग म्हूण भारताच्या तमिळनाडू राज्यांत सादारणपणान जल्लीकट्टू करतात.,,,,SKIP
120,योगाक अंतर्मनांत वचपाची  प्रक्रिया वा चेतनेचो उदय अशें मानतात.,0.12,0.15,0.13,OK
121,ला ब्रिया टार पिट्स आतां नोंदणीकृत राश्ट्रीय सैमीक भूंयखूण जाल्या.,0.24,0.29,0.26,OK
122,"वैष्णव धर्माप्रमाणें, हारिल्ले देव महाबलीआड जाल्ल्या तांच्या झुजांत मजतीखातीर विष्णूकडेन पावले.",0.12,0.32,0.18,OK
123,सिपाह रजब आनी सुलतान हांणी हो प्रस्ताव मान्य केलो.,0.31,0.47,0.37,OK
124,"वरंगल विमानतळ, निजामाबाद विमानतळ आनी रामगुंडम विमानतळ सुदारपाची सरकाराची येवजण आसा.",,,,SKIP
125,कोलेखांकीचें खाशेलपण आशिल्ले खोंकलेंत टी. सी. टी. घडये भर घालूं येता. [34],,,,SKIP
126,तो कार्यालयांतल्या कुलरांतल्यान पँग्विनांक मेकळीं करता आनी जोन्साक भितर बंद करता.,0.31,0.43,0.36,OK
127,तातूंत रावंड-रॉबिन गट पांवडो आनी ताचे उपरांत नॉक-आवट निमणी माळ आसता.,,,,SKIP
128,तातूंतलेच कांय गर्भनिरोध हें एक पातक म्हूण शिकयतात.,0.15,0.33,0.21,OK
129,बी.एफ. 109.ई. आनी स्पिटफायर दोनूय म्हत्वाच्या क्षेत्रांनी एकामेका परस श्रेश्ठ आशिल्लीं.,,,,SKIP
130,"पूण तुर्कस्तानांत उंटाचो बळी दिवप सामकें चुक्कून, आनी ही प्रचलीत चाल न्हय.",,,,SKIP
131,भारतीय म्हाकाव्यांनी सशस्त्र आनी उक्त्या हातांनी जाल्ल्या लडायांची सगळ्यांत आदली म्हायती मेळटा.,0.1,0.24,0.14,OK
132,"उदयगिरी घोली ह्यो मध्य प्रदेशांतल्या विदिशालागींच्यो, इ.स. 5 व्या शेंकड्याच्या सुरवेच्या वर्सांतल्यो खडपांनी कापिल्ल्यो वीस घोली.",,,,SKIP
133,"चड भिरांत आशिल्ल्या लोकां मदीं घरगुती, कामाची सुवात, आनी सक्रीय क्षयरोग आशिल्ल्या लोकांचो समाजीक संपर्क हांचो आस्पाव जाता.",,,,SKIP
134,वेळ वता तसो काळजाच्या स्नायूंक लुकसाण जावपाचो धोको वाडटा.,0.06,0.21,0.09,OK
135,"बीकन, आयोवा बीकन हे युनायटेड स्टेट्सांतले  आयोवा हातूंतले एक शार आसा.",0.21,0.33,0.26,OK
136,मुद्रा वा हस्त म्हळ्यार हातवारे जे दिल्ले कृतीचो अर्थ उक्तावपाक वापरतात.,,,,SKIP
137,"1950 ते 1985 मजगतीं भारतान शिंपणावळ उदरगतीचेर ₹16,590 कोटी मोडल्यात.",,,,SKIP
138,भारतांत आनी बर्मांतल्या जायत्या नागा वस्तींतल्या वाठारांनी विद्रोह चालूच आशिल्लो.,0.23,0.41,0.3,OK
139,"हातूंत धांवप, उडी मारप, लंवडप, सॉमरसॉल्टिंग, पलटी मारप आनी तोल सांबाळप हांचो आस्पाव आसूं येता.",,,,SKIP
140,दर 160 भुरग्यांमदल्या सुमार एका भुरग्याक आत्ममग्नतेच्या स्पॅक्ट्रमाचो विकार आसता.,0.11,0.25,0.15,OK
141,4 नोव्हेंबराक डॉनल्ड ट्रम्पाच्या समर्थनांत निशेध सुरू जालो.,0.29,0.35,0.32,OK
142,हेर राज्यांतल्या भारतीय नागरिकांक जम्मू-काश्मीरांत जमीन वा मालमत्ता खरेदी करपाची परवानगी नाशिल्ली.,,,,SKIP
143,अमेरिकन बोस्टन म्हळ्यार हो खेळ खेळपाची एक वेगळी तरा.,0.19,0.22,0.21,OK
144,"एंड्रॉयड नुगाट
एंड्रॉयडाचें सातवे व्हडलें प्रकाशन एंड्रॉयड नुगाट.",0.13,0.22,0.17,OK
145,इव्हेंट मॅनेजरान सुरवातेक उतर दिल्ल्यो सेवा आमच्या इव्हेंटाक उपलब्ध नाशिल्ल्यान नाका जालां म्हाका.,0.1,0.17,0.13,OK
146,क्रॅलान तें दिसाळें  तो 1855 वर्सा मरसर संपादीत केलें.,,,,SKIP
147,हे दुसरे आवृत्तेंत गीतां आनी इंटरमिशन कार्ड काडून उडयलां.,0.18,0.27,0.22,OK
148,33व्या बर्लिन आंतरराश्ट्रीय चित्रपट महोत्सवांत ताणे सन्माननीय उल्लेख जोडलो.,,,,SKIP
149,"आदि शंकर हो एक धर्मीक तत्वज्ञानी आशिल्लो, जाणें हिंदू धर्माक योगदान दिलें आनी अद्वैत तत्वगिन्यानाचो प्रसार केलो.",0.14,0.36,0.21,OK
150,हायपरकोलेस्टेरोलेमिया म्हळ्यार रक्तांत कॉलेस्ट्रॉलाचो थर खूब चड आसता.,0.12,0.21,0.15,OK
151,"देखीक, स्वताक सगळ्यांत बरो कर्मचारी म्हूण दाखोवपाच्या यत्नांत तुज्या सहकर्मचाऱ्यां कडेन आपले विचार वा उपेगी म्हायती वांटपाची तुजी प्रवृत्ती उणी आसूं येता.",,,,SKIP
152,"समाजीक प्रस्नांचेर, बाजार अर्थवेवस्थेक आदार दिवन समान संद, भलायकी, नागरी स्वातंत्र्य, आनी दुबळ्या वर्गांच्या आनी अल्पसंख्याकांच्या कल्याणाक प्रोत्साहन दिवपी धर्मनिरपेक्ष धोरणांची ती वकिली करता.",,,,SKIP
153,"हें लक्षांत दवरून, ती तुमच्या गरजांक फावोशी आसा हाची खात्री करपाची गरज आसा.",0.04,0.11,0.05,OK
154,हेर नव्या स्टेडियमांकडेन सर्त करपाक ताका जमूंक नाशिल्ल्यान निमणें ह्या स्टेडियमान पंगड वगडायले.,,,,SKIP
155,जेन्ना सुरमा आनी कुशियारा किशोरगंज जिल्ल्यांत भैरब बाजाराचे उत्तरेक एक जातात तेन्ना ते न्हंयेक मेघना न्हंय म्हूण वळखतात.,,,,SKIP
156,हीं  सगलीं खतां जंतूंक आलाशिरो दितात आनी संसर्गीक आसतात.,0.1,0.12,0.11,OK
157,सॉफ्ट स्टीक लॅक्रॉस हो तरणाट्यांक ह्या खेळाची वळख करून दिवपाचो एक लोकप्रिय मार्ग.,,,,SKIP
158,"कुत्रे आनी माजरां धरून, जनावरांकय संधीवात जाता.",0.11,0.14,0.12,OK
159,"पगार, बोनस, भाडें आनी वेवसायीक उत्पन्ना सयत तुमची सगळी येणावळ जोडात.",,,,SKIP
160,दुयेंतीच्या नमुन्यांतल्यान एस. एंटेरिका टायफी संवर्धित करून वळखून वा रक्ताच्या नमुन्यांतल्यान रोगजंतूक प्रतिकारशक्तीची प्रतिक्रिया सोदून काडल्यार निदान जाता.,,,,SKIP
161,ह्या समुदायाचे नांव फ्रेंच जनरल फ्रँकोइस अचिले बाझाईन हांच्या नांवा वेल्यान दवरिल्ले.,0.15,0.32,0.2,OK
162,28 जून 2019 दिसा 83 वर्सांचेर ताका मरण आयलें.,0.29,0.5,0.37,OK
163,हांव तुज्या इत्साअपेक्षांचो आदर करतलें आनी तुजे इश्ट आनी घरच्यांची सरबराय करतलें अशें उतर दितां.,,,,SKIP
164,"क्रिस्तांव धर्म मुखेलपणान लुशाई, कुकी, गारो आनी हलम जमातीचे वांगडी पाळटात आनी 2017 वर्साच्या जनगणनेप्रमाणें तांचे 159,882 अनुयायी आसात.",0.2,0.42,0.27,OK
165,विकसीत संवसारांत किशोरवयीनांमदीं गुरवारपण चड करून लग्न जायनासतना येता.,,,,SKIP
166,हांवें ह्यो तिकेटी ब्लॅकान मोलाच्या तीन पटीन विकत्यो घेतल्यो देखून हांव सामको बेजार जालां.,0.1,0.17,0.13,OK
167,कॅम्प बालांड्रा हांगा क्वारंटायन केल्ल्या  क्रूझ जहाजावयल्यान सोडयल्ल्या प्रवाशां मदीं तो आशिल्लो.,,,,SKIP
168,घडये तुमचे गिरायक परत परत एका वस्तू खातीर तुमच्या दुकानार येता आनी मागीर रोखडेंच वेगळ्या वस्तू खातीर दुसऱ्या दुकानार वता.,,,,SKIP
169,कांय कीबोर्ड आनी टंकलेखन यत्रांनी शिफ्ट लॉक नांवाची एक की आसता.,,,,SKIP
170,उपरांत ताणें 26 फेब्रुवारी 1988 मेरेन मानव्हेल नॉरिएगाच्या फुडारपणाखाला अध्यक्ष म्हुणून काम केलें.,0.27,0.45,0.34,OK
171,हथीसिंग देवूळ हें भारतांतल्या गुजरात राज्यांतल्या अहमदाबादांत आशिल्लें एक जैन देवूळ.,0.26,0.56,0.35,OK
172,बुनेर जिल्लो बुनेर जिल्लो हो पाकिस्तानाच्या खैबर पख्तुनख्वा प्रांतांतलो एक जिल्लो.,,,,SKIP
173,म्हाका नवो मॉडेल आनी तोयबी काळ्या रंगाचोय जाय. तूं ही खटारी हळदुवी गाडी घालता म्हळ्यार कितें म्हज्या हड्ड्यार?,0.09,0.28,0.13,OK
174,लॅटिन अमेरिकेंतल्या व्हिडियो गेम पत्रकारितेंतलो तो एक नामनेचो मनीस आशिल्लो.,0.11,0.24,0.15,OK
175,सिंधफणा ही गोदावरी न्हंयेची ल्हानशी उपन्हंय महाराष्ट्रांतल्या बीड जिल्ल्यांत पाटोडा तालुक्यांतल्या चिंचोळी दोंगराकडेन सुरू जाता.,,,,SKIP
176,1578त पुर्तुगेजांनी ‘थंबीरान वनक्कम’ नांवाच्या पोरण्या तमीळ लिपींत तमीळ पुस्तक उजवाडाक हाडलें आनी अशे तरेन तमीळ ही पयली छापून उजवाडाक येवपी पयली भारतीय भास  केली.,,,,SKIP
177,"आनीक एक नवनिर्मिती म्हळ्यार कापसाच्या जिनांत क्रॅंक हँडलाचो आस्पाव, आनी हें भारतांत पयलेच खेपे दिल्ली सल्तनतीच्या शेवटाक वा मोगल साम्राज्याच्या सुरवेच्या काळांत दिसलें.",0.15,0.25,0.19,OK
178,"हे दोगूय आय.एस.एस. अंतरिक्ष उड्डाणांत मुरिल्ले, आनी तांच्या स्टेशन अणभव आनी कुशळटाये खातीर तांकां वेंचून काडिल्ले.",0.1,0.21,0.14,OK
179,1918 वर्सा तो मुंबयच्या सिडनहॅम कॉलेज ऑफ कॉमर्स अँड इकॉनॉमिक्सांत राजकीय अर्थशास्त्राचो प्राध्यापक जालो.,,,,SKIP
180,"छत्तीसगडाक ""कोसा रेशम"" आनी ""डोकरा वा बेल मेटल आर्ट"" हांचे खातीर वळखतात.",0.22,0.39,0.28,OK
181,प्रतिकार वेवस्था नाशिल्ल्यांनी  गू खावंक जायना.,0.11,0.12,0.11,OK
182,ह्या गांवांतले लोक थेंबंगाक कसलोच कर भरनात कारण तांच्या पुर्वजांनी ती जमीन खूब आदीं विकत घेतिल्ली.,,,,SKIP
183,"हो खेळ पयलीं फार्सी घोडदळ एककांखातीर, चड करून शाही राखणदार वा हेर अभिजात सैन्यांक प्रशिक्षण दिवपाचो खेळ आशिल्लो.",,,,SKIP
184,एरथिमा नोडोसन हें कातीच्या पोंदाची ऊती (पॅनिक्युलायटस) सुजल्यार जाता.,0.19,0.21,0.2,OK
185,2015 वर्सा रॉक अँड रोल हॉल ऑफ फेमांत तिका मानाची सुवात दिल्ली.,,,,SKIP
186,बऱ्याच दीर्घ काळाखातीर अँड्रोजन  घेतल्यार भलायकेचेर हानीकारक परिणाम जावंक शकतात.,0.09,0.11,0.1,OK
187,"एक धंय वडो सुबेज मागतालो तो भुरगो रातच्या जेवणाक, पूण दिलें ना त्या बाबड्याक.",0.13,0.2,0.16,OK
188,सिक्कीम हें भारतांतल्या राज्यांमदीं सगळ्यांत उणी लोकसंख्या आशिल्लें आनी दुसरें सगळ्यांत ल्हान राज्य.,0.26,0.38,0.3,OK
