sentence,amr_penman
मायक्रोसॉफ्टान आदीं जाहीर केल्ले प्रमाण ते आपल्या विंडोज एक्सपी ह्या फ्लॅगशिप ऑपरेटिंग सिस्टम सॉफ्टवॅराच्या पयल्या सर्विस पॅकाक सहाय्य दिवप बंद करतले.,"(s / stop-01
   :ARG0 (c / company
            :name (n / name :op1 ""Microsoft""))
   :ARG1 (s2 / support-01
            :ARG0 c
            :ARG1 (p / pack
                     :mod (s3 / service)
                     :mod (o / ordinal-entity :value 1)
                     :part-of (s4 / software
                                 :name (n2 / name :op1 ""Windows"" :op2 ""XP"")
                                 :poss c
                                 :mod (f / flagship)
                                 :mod (o2 / operating-system))))
   :time (f2 / future)
   :manner (a / announce-01
              :ARG0 c
              :time (b / before
                       :op1 s)))"
"हरमलकार, हवालदार दनरंथ म्हाडेळकार आनी फोरमॅन उमेश पालकार निवृत्त जाल्यात","(r / retire-01
   :ARG0 (a / and
      :op1 (p / person
         :name (n / name :op1 ""Harmalkar""))
      :op2 (p2 / person
         :name (n2 / name :op1 ""Dnyananth"" :op2 ""Mhadelkar"")
         :title ""Havaldar"")
      :op3 (p3 / person
         :name (n3 / name :op1 ""Umesh"" :op2 ""Palkar"")
         :title ""Foreman"")))"
"तेखातीर भारताचो ""सगळ्यांत जलद खंड"" म्हूण उल्लेख करतात.","(r / refer-01
   :ARG0 (p / person)
   :ARG1 (c / country :name (n / name :op1 ""India""))
   :ARG2 (c2 / continent
             :mod (f / fast-01
                      :degree (m / most)))
   :cause (t / that))"
सिरियांत आनी इराकांत सुमार 500 विदेशी  झुजारी बेल्जियन आसात.,"(b / be-03 :ARG1 (f / fighter :quant (a / approximate-01 :op1 500) :mod (f2 / foreign) :location (a2 / and :op1 (s / country :name (n / name :op1 ""Syria"")) :op2 (i / country :name (n2 / name :op1 ""Iraq"")))) :ARG2 (b2 / Belgian))"
4 नोव्हेंबराक डॉनल्ड ट्रम्पाच्या समर्थनांत निशेध सुरू जालो.,"(s / start-01 :ARG1 (p / protest-01 :purpose (s2 / support-01 :ARG1 (p2 / person :name (n / name :op1 ""Donald"" :op2 ""Trump"") :wiki ""Donald_Trump""))) :time (d / date-entity :month 11 :day 4))"
1981 वर्सा स्थापन जाल्लें सतपुडा राश्ट्रीय उद्यान मध्य प्रदेशांतल्या होशंगाबाद जिल्ल्यांत आसा.,"(l / be-located-at-91 :ARG1 (p / park :wiki ""Satpura_National_Park"" :name (n / name :op1 ""Satpura"" :op2 ""National"" :op3 ""Park"") :ARG1-of (e / establish-01 :time (d / date-entity :year 1981))) :ARG2 (d2 / district :wiki ""Hoshangabad_district"" :name (n2 / name :op1 ""Hoshangabad"") :part-of (s / state :wiki ""Madhya_Pradesh"" :name (n3 / name :op1 ""Madhya"" :op2 ""Pradesh""))))"
हवामान शास्त्रज्ञांच्या मतान वादळ आज  दीसभर  चालू उरपाची शक्यताय आसा.,"(p / predict-01
   :ARG0 (m / meteorologist)
   :ARG1 (p2 / possible-01
            :ARG1 (c / continue-01
                     :ARG1 (s / storm)
                     :duration (d / day)
                     :time (t / today))))"
म्हाका आनी म्हज्या वांगडच्या हेर भारतीयांक उणाक लेखपी पोस्ट वॉट्सअॅपाचेर पळोवन पीळ पडले काळजाक. (व्यक्ती 1),"(a / anguish-01 :ARG0 (g / and :op1 (p / person :name (n / name :op1 ""Person 1"")) :op2 (i / Indian :mod (o / other) :ARG1-of (a2 / accompany-01 :ARG0 p))) :cause (s / see-01 :ARG0 g :ARG1 (p2 / post-01 :location (c / company :name (n2 / name :op1 ""WhatsApp"")) :ARG0-of (b / belittle-01 :ARG1 g))))"
"1900 ते 1920 मेरेन हो खेळ ऑलिंपिक खेळांचो भाग आशिल्लो, पूण ते उपरांत ताचो आस्पाव जावंक ना.","(c / contrast-01
   :op1 (i / include-01
          :ARG0 (g2 / game
                  :name (n / name :op1 ""Olympic"" :op2 ""Games"")
                  :wiki ""Olympic_Games"")
          :ARG1 (g / game)
          :time (d / date-interval
                  :start-date (d2 / date-entity :year 1900)
                  :end-date (d3 / date-entity :year 1920)))
   :op2 (i2 / include-01
           :polarity -
           :ARG1 g
           :time (a / after :op1 d)))"
हाचो अर्थ आमकां केन्नांच आय.पी.व्ही6 चे नामे उणे पडचेनात.,(m / mean-01 :ARG0 (t / this) :ARG1 (h / have-03 :ARG0 (w / we) :ARG1 (s / shortage-01 :ARG1 (a / address :mod (i / internet-protocol :version 6))) :time (n / never)))
ते भौशीक जेवण-खाण वांटून घेतात आनी सांगातान भावकेन रावतात.,"(a / and
   :op1 (s / share-01
      :ARG0 (p / person)
      :ARG1 (m / meal
         :mod (c / communal)))
   :op2 (l / live-01
      :ARG0 p
      :manner (a2 / and
         :op1 (t / together)
         :op2 (b / brotherhood))))"
"भाव, आपले वटेन, अशें दिवप घेवप करून भयणींचें लग्न जाले उपरांत लेगीत हरशीं-पारखूंक-कठीण आशिल्लो तिचो कुळाराकडलो नैतीक एकचार आनीक घट करता.","(s / strengthen-01
   :ARG0 (b / brother)
   :ARG1 (u / unity
             :mod (m2 / moral)
             :participant (s2 / sister)
             :participant (f / family
                              :mod (n / natal)
                              :poss s2)
             :mod (d / difficult-01
                      :ARG1 (p / perceive-01
                                :ARG1 u)
                      :condition (o / otherwise)))
   :degree (m / more)
   :manner (e / exchange-01
               :ARG0 (a / and
                         :op1 b
                         :op2 s2)
               :mod (s3 / such))
   :concession (m3 / marry-01
                   :ARG1 s2)
   :time (a2 / after
             :op1 m3))"
"चकमा, हलम, गारो, कुकी, मिझो, उचोई, धमाई, रोझा, मोघ मुंडा, उरांव आनी संथाल अशे आदिवासी गट आसात जे चहा मजूर म्हणून त्रिपुरांत स्थलांतरीत जाले.","(m / migrate-01
   :ARG0 (g / group
             :mod (t / tribe)
             :consist-of (a / and
                             :op1 (g1 / group :name (n1 / name :op1 ""Chakma""))
                             :op2 (g2 / group :name (n2 / name :op1 ""Halam""))
                             :op3 (g3 / group :name (n3 / name :op1 ""Garo""))
                             :op4 (g4 / group :name (n4 / name :op1 ""Kuki""))
                             :op5 (g5 / group :name (n5 / name :op1 ""Mizo""))
                             :op6 (g6 / group :name (n6 / name :op1 ""Uchoi""))
                             :op7 (g7 / group :name (n7 / name :op1 ""Dhamai""))
                             :op8 (g8 / group :name (n8 / name :op1 ""Roza""))
                             :op9 (g9 / group :name (n9 / name :op1 ""Mogh"" :op2 ""Munda""))
                             :op10 (g10 / group :name (n10 / name :op1 ""Oraon""))
                             :op11 (g11 / group :name (n11 / name :op1 ""Santhal""))))
   :destination (s / state :name (n12 / name :op1 ""Tripura""))
   :purpose (h / have-role-91
                :ARG1 g
                :ARG2 (l / laborer
                          :mod (t2 / tea))))"
वयल्या पांवड्यार वचपी जायते अंडाकार स्तंभ आनी रॅम्प आशिल्ल्यान हेर सात ल्हान स्टेडियम आशिल्ल्या वाठाराच्या फुडाराच्या देखाव्यांत भर घालतात.,"(e / enhance-01
   :ARG0 (a / and
            :op1 (p / pillar
                    :quant (m / many)
                    :mod (o / oval))
            :op2 (r / ramp)
            :ARG0-of (g / go-01
                        :destination (l / level
                                        :mod (u / upper))))
   :ARG1 (l2 / landscape
            :mod (f / future)
            :poss (a2 / area
                     :ARG1-of (h / have-03
                                 :ARG1 (s / stadium
                                          :quant 7
                                          :mod (o2 / other)
                                          :mod (s2 / small))))))"
"इंग्लीश, हिंदी, बंगाली आनी पयलेच खेपे तमिळ आनी मराठी सिनेमांनी काम केल्ल्यान 2015 वर्सा हुसेन चडांत चड चित्रपटांनी झळकलो.","(a / appear-01 :ARG1 (h / person :name (n / name :op1 ""Husain"")) :location (f / film :degree (s / superlative)) :time (d / date-entity :year 2015) :cause (w / and :op1 (w2 / work-01 :ARG0 h :ARG1 (f2 / film :mod (a2 / and :op1 (e / english) :op2 (h2 / hindi) :op3 (b / bengali)))) :op2 (w3 / work-01 :ARG0 h :ARG1 (f3 / film :mod (a3 / and :op1 (t / tamil) :op2 (m / marathi))) :ord (o / ordinal-entity :value 1))))"
इतले मजगतीं अलाउद्दीनान पद्मावतीक मेळोवपा खातीर परत एक फावट चित्तोराचेर घुरी घाली.,"(a / attack-01 :ARG0 (p / person :name (n / name :op1 ""Alauddin"") :wiki ""Alauddin_Khilji"") :ARG1 (c / city :name (n2 / name :op1 ""Chittor"") :wiki ""Chittorgarh"") :time (m / meanwhile) :manner (a2 / again) :purpose (g / get-01 :ARG0 p :ARG1 (p2 / person :name (n3 / name :op1 ""Padmavati"") :wiki ""Rani_Padmini"")))"
भारतांत केल्ल्या पुणे मेटर्नल न्यूट्रिशन अभ्यासांत दाखयल्ले प्रमाण भुरग्याची उपरांतची भलायकी थारावपाक आवयची बी 12 स्थिती म्हत्वाची थारूंक शकता.,"(s / show-01
   :ARG0 (s2 / study
            :name (n / name :op1 ""Pune"" :op2 ""Maternal"" :op3 ""Nutrition"" :op4 ""Study"")
            :ARG1-of (c / conduct-01
                        :location (c2 / country
                                     :name (n2 / name :op1 ""India""))))
   :ARG1 (p / possible-01
            :ARG1 (i / important-01
                     :ARG1 (s3 / status
                              :poss (m / mother)
                              :topic (v / vitamin
                                        :name (n3 / name :op1 ""B12"")))
                     :purpose (d / determine-01
                                 :ARG0 s3
                                 :ARG1 (h / health
                                          :poss (c3 / child
                                                   :poss-of m)
                                          :time (a / after))))))"
"रग्बी फुटबॉलांत रग्बी युनियन, रग्बी लीग, अमेरिकन फुटबॉल, कॅनडियन फुटबॉल अशीं फूट पडली.","(s / split-01
   :ARG1 (s2 / sport
            :name (n / name :op1 ""Rugby"" :op2 ""football"")
            :wiki ""Rugby_football"")
   :ARG2 (a / and
            :op1 (s3 / sport
                     :name (n2 / name :op1 ""Rugby"" :op2 ""Union"")
                     :wiki ""Rugby_union"")
            :op2 (s4 / sport
                     :name (n3 / name :op1 ""Rugby"" :op2 ""League"")
                     :wiki ""Rugby_league"")
            :op3 (s5 / sport
                     :name (n4 / name :op1 ""American"" :op2 ""football"")
                     :wiki ""American_football"")
            :op4 (s6 / sport
                     :name (n5 / name :op1 ""Canadian"" :op2 ""football"")
                     :wiki ""Canadian_football"")))"
"अवनी आदीक घरांतलीं सगळीं कामां करूंक लायता, जाका लागून ताका खूब त्रास जातात.","(s / suffer-01
   :ARG0 (p / person :name (n / name :op1 ""Adi""))
   :degree (m / much)
   :cause (c / cause-01
              :ARG0 (p2 / person :name (n2 / name :op1 ""Avni""))
              :ARG1 (d / do-01
                        :ARG0 p
                        :ARG1 (c2 / chore
                                  :mod (h / household)))))"
"भारतीय संगीत शेंकड्यांनी राग वापरता, पाश्चात्य संगीतांतले इगर्ज पद्दती परस जायते चड.","(u / use-01
   :ARG0 (m / music
            :mod (c / country :name (n / name :op1 ""India"")))
   :ARG1 (r / raga
            :quant (h / hundred
                      :degree (m2 / more
                                 :degree (m3 / much)
                                 :compared-to (c2 / church-mode
                                                 :part-of (m4 / music
                                                             :mod (w / west)))))))"
गुजरात राज्य रस्तो येरादारी म्हामंडळ ही गुजरात राज्याभितर आनी शेजारच्या राज्यांकडेनय बस सेवा दिवपाची जापसालदारकी आशिल्ली मुखेल संस्था आसा.,"(o / organization
   :name (c / corporation
            :name (n / name
                     :op1 ""Gujarat""
                     :op2 ""State""
                     :op3 ""Road""
                     :op4 ""Transport""
                     :op5 ""Corporation""))
   :mod (m / main)
   :ARG0-of (r / responsible-01
               :ARG1 (p / provide-01
                        :ARG0 c
                        :ARG1 (s / service
                                 :mod (b / bus))
                        :location (s2 / state
                                     :name (n2 / name :op1 ""Gujarat""))
                        :destination (s3 / state
                                         :quant (m2 / multiple)
                                         :mod (n3 / neighbor-01)))))"
धर्मीक शिकवण आयकुपाखातीर सोगलांत वाग आयले अशें थळाव्या लोकवेदांत म्हळां.,"(s / say-01
   :ARG0 (f / folklore
            :mod (l / local))
   :ARG1 (c / come-01
            :ARG1 (t / tiger)
            :destination (c2 / clearing)
            :purpose (l2 / listen-01
                        :ARG0 t
                        :ARG1 (t2 / teach-01
                                 :mod (r / religious)))))"
"हे परिस्थितींत, ती व्यक्ती मेल्ली आसूं येता असो निश्कर्श काडपाक न्यायालयाक फावो तितलो पुरावो आसा.","(s / sufficient-01
   :ARG1 (e / evidence
            :poss (c / court))
   :ARG2 (c2 / conclude-01
            :ARG0 c
            :ARG1 (p / possible-01
                     :ARG1 (d / die-01
                              :ARG1 (p2 / person)
                              :location (s2 / situation
                                           :mod (t / this))))))"
तिसरी वळ म्हळ्यार तुमी तुमचें शार खंय तें टायप करपाचें.,(m / mean-01 :ARG0 (l / line :ord (o / ordinal-entity :value 3)) :ARG1 (o2 / obligate-01 :ARG1 (p / you) :ARG2 (t / type-01 :ARG0 p :ARG1 (l2 / locate-01 :ARG1 (c / city :poss p) :location (a / amr-unknown)))))
"रोखडेच हैदर अलीन ताच्या गॅरिसनांतल्या ३,००० मनशांवागडा, मकदुम अलीच्या सुमार ६,००० सैन्या आड बेंगळूरच्या सेरिंगापटाम वटेन आगेकुच केली.","(m / march-01 :ARG0 (p / person :name (n / name :op1 ""Hyder"" :op2 ""Ali"")) :manner (i / immediate) :source (c / city :name (n2 / name :op1 ""Bangalore"")) :destination (c2 / city :name (n3 / name :op1 ""Seringapatam"")) :accompanier (s / soldier :quant 3000 :source (g / garrison :poss p)) :ARG2 (t / troop :quant (a / approximate :op1 6000) :poss (p2 / person :name (n4 / name :op1 ""Makhdum"" :op2 ""Ali""))))"
19 एप्रिल 1906 दिसा पॅरिसांत एका गाडयेच्या अपघातांत पियरेक मरण आयलें.,"(d / die-01
   :ARG1 (p / person
      :name (n / name :op1 ""Pierre""))
   :cause (a / accident-01
      :instrument (c / carriage))
   :location (c2 / city
      :name (n2 / name :op1 ""Paris""))
   :time (d2 / date-entity
      :day 19
      :month 4
      :year 1906))"
"पेशवा बाजीराव आनी ताचे तीन नायक पवार, होळकर, सिंधिया हाणी ताचो उत्तरेवटेन पेशावर मेरेन विस्तार केलो.","(e / expand-01
   :ARG0 (a / and
      :op1 (p1 / person
         :name (n1 / name :op1 ""Peshwa"" :op2 ""Bajirao"")
         :wiki ""Bajirao_I"")
      :op2 (c / commander
         :quant 3
         :poss p1
         :name (a2 / and
            :op1 (n2 / name :op1 ""Pawar"")
            :op2 (n3 / name :op1 ""Holkar"")
            :op3 (n4 / name :op1 ""Scindia""))))
   :ARG1 (e2 / empire
      :poss p1)
   :direction (n5 / north)
   :ARG4 (c2 / city
      :name (n6 / name :op1 ""Peshawar"")
      :wiki ""Peshawar""))"
म्हजो क्रिप्टोकरन्सी पोर्टफोलियो सामको नेटान वाडिल्ल्यान म्हाका कितें करूं कितें नाका जालां!,(k / know-01 :polarity - :ARG0 (i / i) :ARG1 (d / do-02 :ARG0 i :ARG1 (a / amr-unknown)) :cause (g / grow-01 :ARG1 (p / portfolio :poss i :mod (c / cryptocurrency)) :manner (w / well) :degree (s / so)))
दूद उत्पादकांक प्रति लिटर 2 रुपयांची वाड दिवपाचो निर्णय बसकेंत घेतला,(d / decide-01 :location (m / meeting) :ARG1 (i / increase-01 :beneficiary (p / producer :mod (m2 / milk)) :ARG2 (m3 / monetary-quantity :quant 2 :unit (r / rupee) :per (l / liter))))
"एकदां तुमकां कंपनी मेळ्ळ्या उपरांत, ते दर आनी सेवा करारांचे वळेरीचे सेवा कंत्राट दितले.",(p / provide-01 :ARG0 (t / they) :ARG1 (c / contract :mod (s / service) :ARG0-of (l / list-01 :ARG1 (a / and :op1 (r / rate) :op2 (a2 / agreement :mod (s2 / service))))) :ARG2 (y / you) :time (a3 / after :op1 (f / find-01 :ARG0 y :ARG1 (c2 / company))))
मायक्रोसॉफ्ट आनी कायंड आपल्या सॉफ्टवॅरां खातीर राज्य सरकारां कडेन करार करपा खातीर अर्ज करतले.,"(a2 / apply-01
   :ARG0 (a / and
            :op1 (c / company
                   :name (n / name :op1 ""Microsoft"")
                   :wiki ""Microsoft"")
            :op2 (c2 / company
                   :name (n2 / name :op1 ""Kaynd"")))
   :ARG2 (g / government
            :mod (s / state))
   :purpose (c3 / contract-01
               :ARG0 a
               :ARG1 (s2 / software
                        :poss a)
               :ARG2 g))"
हें सैमाच्या देखाव्यांक लागून आनी विष्णु आनी शिव ह्या दोन हिंदू देवांकडेन संबंदीत आशिल्ल्यान लोकप्रिय आसा.,"(p / popular :domain (t / this) :cause (a / and :op1 (s / scenery :mod (n / nature)) :op2 (a2 / associate-01 :ARG1 t :ARG2 (g / god :quant 2 :mod (h / hindu) :consist-of (a3 / and :op1 (v / god :name (n1 / name :op1 ""Vishnu"") :wiki ""Vishnu"") :op2 (s2 / god :name (n2 / name :op1 ""Shiva"") :wiki ""Shiva""))))))"
आधुनीक वापरांत ऑक्टेट आनी बायट समान आसतात.,"(e / equal-01
   :ARG1 (a / and
      :op1 (o / octet)
      :op2 (b / byte))
   :domain (u / use-01
      :mod (m / modern)))"
तो कार्लोस आर्मांदो ग्रुऍझो किन्यॉनॅझाचो पूत.,"(s / son
   :poss (p / person
            :name (n / name
                     :op1 ""Carlos""
                     :op2 ""Armando""
                     :op3 ""Gruezo""
                     :op4 ""Quiñónez"")))"
मूळ स्टेडियम 1980 च्या सुरवेक बांदिल्लें.,"(b / build-01
   :ARG1 (s / stadium
      :mod (o / original-01))
   :time (d / date-entity
      :year 1980
      :mod (e / early)))"
"कुत्रे आनी माजरां धरून, जनावरांकय संधीवात जाता.","(h / have-03
   :ARG0 (a / animal
            :example (a2 / and
                         :op1 (d / dog)
                         :op2 (c / cat)))
   :ARG1 (a3 / arthritis)
   :mod (a4 / also))"
20 फेब्रुवारी 2008 दिसा नॅशनल हॉकी लीगांत 6 खेळ जाल्ले.,"(h / happen-01 :ARG1 (g / game :quant 6) :location (l / league :wiki ""National_Hockey_League"" :name (n / name :op1 ""National"" :op2 ""Hockey"" :op3 ""League"")) :time (d / date-entity :day 20 :month 2 :year 2008))"
तातूंतलीं कांय कोरांतिल्लीं चित्रां जैन आख्यायिकांतले प्रसंग सांगतात.,(n / narrate-01 :ARG0 (p / picture :ARG1-of (c / carve-01)) :ARG1 (e / episode :source (l / legend :mod (j / jain))))
ह्या घडणुकांक लागून नागा लोकांमदीं खोल समाजीक बदल घडोवन हाडपाक सुरवात जाली.,(s / start-01 :cause (e / event :mod (t / this)) :ARG1 (c / cause-01 :ARG1 (c2 / change-01 :ARG1 (p / person :mod (n / naga)) :mod (s2 / social) :degree (d / deep))))
उपरांत कोग्गा देवन्ना कामतीन हो उपप्रकार आनीक सुदारलो आनी ताका तुलसी सन्मान आनी संगीत नाटक अकादमी पुरस्कार फावो जाल्यात.,"(a / and :op1 (i / improve-01 :ARG0 (p / person :name (n / name :op1 ""Kogga"" :op2 ""Devanna"" :op3 ""Kamat"")) :ARG1 (s / sub-genre) :time (a2 / afterward) :degree (m / more)) :op2 (a6 / award-01 :ARG1 (a5 / and :op1 (a3 / award :name (n2 / name :op1 ""Tulsi"" :op2 ""Samman"")) :op2 (a4 / award :name (n3 / name :op1 ""Sangeet"" :op2 ""Natak"" :op3 ""Akademi"" :op4 ""Award""))) :ARG2 p))"
पदाच्या लावाचो फायदो घेतिल्ल्या प्रकरणांत एकादो पंच अपात्र जावपाची ही गोंयांतली पयलीच घडणूक,"(i / incident :ARG1 (d / disqualify-01 :ARG1 (p / panch) :cause (t / take-advantage-of-91 :ARG0 p :ARG1 (b / benefit :poss (p2 / post)))) :location (g / state :name (n / name :op1 ""Goa"")) :mod (o / ordinal-entity :value 1))"
चड करून पकाच्या जाग्यार बॉल वापरतात आनी चड करून संरक्षणात्मक उपकरणां घालनात.,"(a / and
   :op1 (u / use-01
      :ARG0 (p / person)
      :ARG1 (b / ball
         :ARG1-of (s / substitute-01
            :ARG2 (p2 / puck)))
      :frequency (u2 / usual))
   :op2 (w / wear-01
      :ARG0 p
      :ARG1 (e / equipment
         :mod (p3 / protect-01))
      :polarity -
      :frequency (u3 / usual)))"
वॅस्ट जर्मन ऍर फोर्सांतल्या वरिश्ठांकडेन ताचें किजिल जालें.,"(q / quarrel-01 :ARG0 (p / person) :ARG1 (s / senior :part-of (o / organization :name (n / name :op1 ""West"" :op2 ""German"" :op3 ""Air"" :op4 ""Force""))))"
"रिमी सेन, 21 सप्टेंबर 1981 दिसा सुभामित्र सेन म्हूण जल्मल्ली, ही भारतीय अभिनेत्री आनी निर्माती, हिंदी, तेलुगू, बंगाली ह्या चित्रपटांनी दिसता.","(a / appear-01
   :ARG1 (p / person
            :name (n / name :op1 ""Rimi"" :op2 ""Sen"")
            :wiki ""Rimi_Sen""
            :ARG0-of (a2 / and
                        :op1 (a3 / actress)
                        :op2 (p2 / producer)
                        :mod (c / country :name (n2 / name :op1 ""India"")))
            :ARG1-of (b / bear-01
                        :time (d / date-entity
                                 :day 21
                                 :month 9
                                 :year 1981))
            :ARG1-of (n3 / name-01
                        :ARG2 (n4 / name
                                 :op1 ""Subhamitra""
                                 :op2 ""Sen"")))
   :location (a4 / and
                :op1 (f1 / film
                        :mod (l1 / language :name (n5 / name :op1 ""Hindi"")))
                :op2 (f2 / film
                        :mod (l2 / language :name (n6 / name :op1 ""Telugu"")))
                :op3 (f3 / film
                        :mod (l3 / language :name (n7 / name :op1 ""Bengali"")))))"
नियोजन मंत्री रॉब हल्सान राज्याच्या नैऋत्येक माउंट गेलिब्रांड हांगा 38 कोटी डॉलराच्या नव्या पवनचक्की खातीर मंजूरी दिल्या.,"(a / approve-01
   :ARG0 (p / person
      :name (n / name :op1 ""Rob"" :op2 ""Halse"")
      :title (m / minister
         :mod (p2 / plan-01)))
   :ARG1 (w / wind-farm
      :mod (n2 / new-01)
      :cost (m2 / monetary-quantity
         :quant 380000000
         :unit (d / dollar)))
   :location (l / location
      :name (n3 / name :op1 ""Mount"" :op2 ""Gellibrand"")
      :location (r / region
         :part-of (s / state)
         :mod (s2 / southwest))))"
दुबावीत सिद्धीकीचेर जमीन घोटाळाचे खूबशे गुन्यांव आसात,"(h / have-03
   :ARG0 (p / person
      :name (n / name :op1 ""Siddiki"")
      :mod (s / suspect-01))
   :ARG1 (c / crime
      :quant (m / many)
      :topic (s2 / scam-01
         :ARG1 (l / land))))"
दरेक स्वरम् श्रुतीच्या संबंदांत स्वराची सुवात स्पश्ट करता.,"(c / clarify-01 :ARG0 (n / note-03) :ARG1 (p / position-02 :poss n) :topic (s / shruti :wiki ""Shruti_(music)""))"
"दरेका राज्याची डी.बी.ए. नोंदणी करपाची आपली स्वताची प्रक्रिया आसता, ती सादारणपणान राज्य कार्यालयाचो  सचीव हाताळटा.",(h / have-03 :ARG0 (s / state :quant (e / each)) :ARG1 (p / process :poss s :purpose (r / register-01 :ARG1 (d / dba)) :ARG1-of (h2 / handle-01 :ARG0 (s2 / secretary :part-of (o / office :mod s)) :frequency (u / usual))))
पी. सी. पी. मेंदवांतल्या कांय प्रकारच्या ओपिऑयड रिसॅप्टरांचेरय परिणाम करूंक शकता.,"(p / possible-01
   :ARG1 (a / also
            :op1 (a2 / affect-01
                     :ARG0 (c / chemical
                              :name (n / name :op1 ""PCP""))
                     :ARG1 (r / receptor
                              :location (b / brain)
                              :mod (o / opioid)
                              :mod (t / type
                                      :quant (s / some))))))"
